Student_ID,Student_Name,Gender,Age,Branch,CGPA,Attendance_Percentage,Technical_Skills,Internships,Projects,Certifications,Aptitude_Score,Communication_Score,Placement_Status,Company,Salary_Package_LPA
STU029,Kavya Bansal,Female,23,Mechanical Engineering,7.37,68.2,4,2,0,1,28.0,63.8,Not Placed,Not Applicable,0.0
STU030,Harsh Rao,Male,22,Information Technology,6.81,60.6,9,2,2,3,71.6,81.5,Placed,Tech Mahindra,11.04
STU031,Riya Bansal,Female,25,Artificial Intelligence & Machine Learning,7.97,95.2,4,1,3,3,61.2,49.3,Not Placed,Not Applicable,0.0
STU032,Krishna Sharma,Male,25,Information Technology,6.65,85.2,3,3,3,3,42.6,67.3,Placed,Capgemini,10.4
STU033,Karan Pandey,Male,23,Information Technology,7.55,50.1,7,2,2,0,95.9,96.6,Placed,IBM,11.98
STU034,Nisha Saxena,Female,22,Information Technology,8.58,68.2,8,2,8,1,66.2,41.1,Not Placed,Not Applicable,0.0
STU035,Nisha Bansal,Female,20,Information Technology,7.36,86.3,6,0,4,3,60.9,40.6,Not Placed,Not Applicable,0.0
STU036,Neha Agarwal,Female,21,Electronics & Communication,7.76,95.4,6,1,2,2,70.2,84.2,Placed,Wipro,11.61
STU037,Ishaan Mishra,Male,24,Civil Engineering,7.69,90.1,9,1,2,2,30.9,68.3,Not Placed,Not Applicable,0.0
STU038,Manav Sharma,Male,20,Artificial Intelligence & Machine Learning,7.41,75.7,8,0,3,1,39.5,56.0,Placed,Deloitte,9.83
STU039,Tanvi Mishra,Female,23,Electronics & Communication,7.33,56.8,6,0,3,1,56.0,48.1,Not Placed,Not Applicable,0.0
STU040,Yash Chatterjee,Male,24,Civil Engineering,6.83,90.4,5,0,3,4,67.7,64.5,Not Placed,Not Applicable,0.0
STU041,Vivaan Rao,Male,21,Information Technology,7.55,76.4,8,0,0,1,84.9,67.0,Placed,Wipro,12.48
STU042,Nikhil Chatterjee,Male,21,Information Technology,7.12,80.8,7,4,0,2,46.1,67.1,Placed,Cognizant,9.26
STU043,Reyansh Mishra,Male,22,Electronics & Communication,8.95,77.9,6,1,4,4,42.0,47.9,Placed,Tech Mahindra,9.58
STU044,Saanvi Sharma,Female,24,Electronics & Communication,8.21,63.7,5,1,2,4,71.0,59.9,Placed,Capgemini,10.29
STU045,Ishaan Pandey,Male,22,Mechanical Engineering,5.95,84.4,5,0,4,3,59.6,56.5,Placed,Wipro,7.43
STU046,Anika Gupta,Female,20,Information Technology,6.0,82.7,5,1,2,3,27.4,74.7,Not Placed,Not Applicable,0.0
STU047,Kabir Nair,Male,25,Civil Engineering,7.27,74.9,5,2,1,5,45.5,48.8,Not Placed,Not Applicable,0.0
STU048,Siddharth Malhotra,Male,25,Computer Science Engineering,7.0,85.7,4,1,2,1,58.7,66.1,Not Placed,Not Applicable,0.0
STU049,Vivaan Sharma,Male,25,Computer Science Engineering,7.22,63.5,6,1,2,2,59.2,100.0,Placed,Accenture,7.82
STU050,Manav Mehta,Male,24,Electronics & Communication,8.05,76.8,4,2,4,3,63.6,47.8,Placed,Deloitte,11.43
STU051,Riya Sharma,Female,25,Artificial Intelligence & Machine Learning,7.72,80.3,6,4,2,2,38.6,53.8,Placed,HCLTech,10.35
STU052,Ishita Saxena,Female,20,Artificial Intelligence & Machine Learning,7.71,59.2,1,1,3,2,59.6,63.6,Not Placed,Not Applicable,0.0
STU053,Riya Rao,Female,22,Artificial Intelligence & Machine Learning,8.85,79.3,4,0,0,4,79.0,20.9,Not Placed,Not Applicable,0.0
STU054,Aditi Kumar,Female,24,Artificial Intelligence & Machine Learning,6.01,88.8,8,2,2,2,10.0,43.6,Not Placed,Not Applicable,0.0
STU055,Ishita Mishra,Female,22,Computer Science Engineering,7.5,76.4,4,0,1,4,56.9,69.7,Not Placed,Not Applicable,0.0
STU056,Ananya Kapoor,Female,24,Civil Engineering,6.82,79.6,7,1,5,2,32.1,62.4,Not Placed,Not Applicable,0.0
STU057,Ishaan Verma,Male,22,Artificial Intelligence & Machine Learning,8.84,86.7,4,0,4,4,61.4,80.8,Not Placed,Not Applicable,0.0
STU058,Aditya Saxena,Male,21,Electronics & Communication,5.19,75.3,7,0,6,4,34.9,61.4,Not Placed,Not Applicable,0.0
STU059,Sameer Saxena,Male,22,Mechanical Engineering,5.23,76.4,5,1,3,2,64.4,60.1,Not Placed,Not Applicable,0.0
STU060,Sameer Iyer,Male,25,Civil Engineering,7.7,65.9,5,0,8,2,91.3,54.5,Placed,Capgemini,14.52
STU061,Rahul Singh,Male,21,Computer Science Engineering,8.53,79.8,6,1,1,2,44.4,59.9,Placed,IBM,9.76
STU062,Harsh Kumar,Male,22,Mechanical Engineering,8.17,76.0,3,4,1,2,47.0,46.8,Placed,Capgemini,10.82
STU063,Tanvi Pandey,Female,24,Information Technology,6.6,86.0,7,2,2,3,53.5,62.8,Placed,Cognizant,9.72
STU064,Rahul Chatterjee,Male,24,Electronics & Communication,8.91,86.8,8,0,4,4,67.7,50.4,Not Placed,Not Applicable,0.0
STU065,Krishna Nair,Male,24,Electronics & Communication,6.17,89.5,5,2,2,3,43.7,46.8,Not Placed,Not Applicable,0.0
STU066,Krishna Sharma,Male,23,Mechanical Engineering,8.71,73.9,7,2,2,3,55.2,55.4,Placed,Tech Mahindra,13.77
STU067,Siddharth Agarwal,Male,20,Artificial Intelligence & Machine Learning,6.3,53.9,7,2,2,2,49.9,71.8,Not Placed,Not Applicable,0.0
STU068,Nisha Singh,Female,24,Electronics & Communication,7.05,88.9,5,2,3,3,53.6,67.1,Not Placed,Not Applicable,0.0
STU069,Manav Verma,Male,21,Information Technology,8.04,85.2,3,1,1,6,67.9,75.0,Not Placed,Not Applicable,0.0
STU070,Alex Kapoor,Other,24,Mechanical Engineering,5.93,72.4,9,2,0,3,71.9,51.2,Not Placed,Not Applicable,0.0
STU071,Aadhya Tripathi,Female,23,Civil Engineering,8.87,86.7,5,0,1,4,35.4,64.8,Not Placed,Not Applicable,0.0
STU072,Aryan Nair,Male,25,Computer Science Engineering,7.04,62.6,4,2,3,2,67.9,90.5,Not Placed,Not Applicable,0.0
STU073,Vivaan Gupta,Male,21,Civil Engineering,7.54,92.4,9,0,7,4,100.0,86.0,Placed,HCLTech,10.7
STU074,Pooja Tripathi,Female,23,Computer Science Engineering,8.56,76.0,7,0,4,3,89.8,45.9,Placed,Cognizant,11.47
STU075,Aadhya Kumar,Female,25,Computer Science Engineering,6.61,70.1,6,1,6,5,50.4,49.9,Placed,Capgemini,10.52
STU076,Myra Reddy,Female,21,Computer Science Engineering,8.46,72.5,4,1,5,4,64.4,90.5,Not Placed,Not Applicable,0.0
STU077,Diya Dwivedi,Female,22,Artificial Intelligence & Machine Learning,9.04,77.2,7,2,2,3,61.4,71.8,Placed,Infosys,13.6
STU078,Dhruv Gupta,Male,20,Electronics & Communication,6.74,79.9,10,2,3,1,70.3,62.1,Not Placed,Not Applicable,0.0
STU079,Harsh Rao,Male,20,Computer Science Engineering,8.77,80.6,7,2,5,2,54.4,60.5,Not Placed,Not Applicable,0.0
STU080,Dhruv Saxena,Male,23,Computer Science Engineering,5.64,74.8,6,1,5,4,57.2,68.4,Placed,Wipro,9.1
STU081,Shreya Nair,Female,25,Civil Engineering,7.79,82.4,7,1,3,1,48.8,68.6,Placed,Capgemini,12.78
STU082,Tanvi Pandey,Female,20,Mechanical Engineering,6.17,80.1,5,1,4,0,81.7,57.0,Placed,HCLTech,10.28
STU083,Nikhil Chatterjee,Male,25,Mechanical Engineering,8.34,72.2,5,0,3,3,67.6,62.6,Placed,Capgemini,11.35
STU084,Siddharth Bansal,Male,25,Civil Engineering,8.26,70.4,5,1,0,2,67.7,56.5,Placed,Capgemini,9.74
STU085,Sameer Reddy,Male,23,Electronics & Communication,9.48,87.3,4,0,7,5,83.9,67.5,Placed,Tech Mahindra,15.36
STU086,Ishaan Verma,Male,23,Computer Science Engineering,8.82,86.3,5,3,2,2,84.2,53.9,Placed,IBM,9.68
STU087,Neha Bhatt,Female,23,Artificial Intelligence & Machine Learning,7.23,80.7,5,2,5,2,80.8,46.0,Not Placed,Not Applicable,0.0
STU088,Anika Reddy,Female,20,Electronics & Communication,6.32,91.1,5,2,1,1,83.7,87.1,Not Placed,Not Applicable,0.0
STU089,Sneha Malhotra,Female,23,Artificial Intelligence & Machine Learning,7.97,56.5,5,3,1,1,90.1,64.0,Not Placed,Not Applicable,0.0
STU090,Vihaan Chauhan,Male,20,Electronics & Communication,7.34,73.2,6,1,1,3,44.6,90.5,Placed,Deloitte,10.6
STU091,Vivaan Pandey,Male,23,Computer Science Engineering,8.95,66.1,6,0,3,3,56.6,36.0,Placed,Capgemini,10.67
STU092,Aadhya Iyer,Female,24,Artificial Intelligence & Machine Learning,5.23,100.0,6,0,3,3,74.8,43.3,Placed,Accenture,6.24
STU093,Myra Chatterjee,Female,25,Information Technology,9.59,88.6,9,0,1,2,46.1,72.0,Placed,Accenture,9.62
STU094,Priya Singh,Female,23,Electronics & Communication,7.93,79.1,6,0,3,0,55.5,64.0,Not Placed,Not Applicable,0.0
STU095,Kavya Patel,Female,21,Information Technology,6.59,89.4,10,3,3,3,65.5,47.6,Placed,HCLTech,14.27
STU096,Vivaan Bansal,Male,25,Electronics & Communication,8.13,93.4,6,3,7,3,57.9,82.0,Not Placed,Not Applicable,0.0
STU097,Arjun Bhatt,Male,25,Computer Science Engineering,8.7,93.3,5,1,4,5,63.2,52.0,Placed,Wipro,12.28
STU098,Reyansh Yadav,Male,23,Computer Science Engineering,7.51,91.1,8,3,3,2,41.4,83.0,Placed,Tech Mahindra,10.73
STU099,Kabir Rao,Male,22,Mechanical Engineering,5.64,76.8,5,2,3,2,61.3,63.9,Not Placed,Not Applicable,0.0
STU100,Reyansh Joshi,Male,23,Electronics & Communication,7.11,74.0,1,1,1,0,64.4,49.0,Not Placed,Not Applicable,0.0
STU101,Vivaan Yadav,Male,25,Computer Science Engineering,8.44,68.5,5,0,5,4,91.1,55.0,Placed,Cognizant,11.85
STU102,Neha Bhatt,Female,21,Mechanical Engineering,7.9,86.0,5,0,2,1,57.2,85.6,Not Placed,Not Applicable,0.0
STU103,Krishna Nair,Male,25,Artificial Intelligence & Machine Learning,7.24,78.1,9,0,2,4,50.3,60.5,Not Placed,Not Applicable,0.0
STU104,Karan Bansal,Male,21,Information Technology,8.71,75.0,4,1,2,3,74.8,79.6,Placed,TCS,11.69
STU105,Tanvi Verma,Female,20,Computer Science Engineering,8.14,74.4,5,0,5,2,4.9,86.0,Placed,IBM,10.49
STU106,Aryan Sharma,Male,24,Electronics & Communication,8.22,97.4,8,2,2,4,56.3,63.8,Placed,IBM,10.73
STU107,Siddharth Dwivedi,Male,25,Electronics & Communication,6.99,91.4,6,1,1,3,52.8,61.7,Placed,Wipro,8.87
STU108,Saanvi Mishra,Female,23,Computer Science Engineering,6.89,100.0,5,0,7,0,66.7,58.9,Not Placed,Not Applicable,0.0
STU109,Aryan Joshi,Male,20,Mechanical Engineering,5.7,86.3,4,1,6,2,84.4,70.3,Not Placed,Not Applicable,0.0
STU110,Aryan Singh,Male,24,Information Technology,7.14,80.7,6,1,2,4,89.9,87.6,Placed,TCS,12.15
STU111,Nikhil Mehta,Male,23,Artificial Intelligence & Machine Learning,8.34,79.7,5,2,2,4,66.4,46.6,Placed,Accenture,11.99
STU112,Ishaan Gupta,Male,22,Computer Science Engineering,7.2,67.8,4,0,3,3,34.1,68.3,Placed,HCLTech,7.37
STU113,Diya Pandey,Female,23,Artificial Intelligence & Machine Learning,7.85,64.9,4,3,4,2,52.7,67.6,Not Placed,Not Applicable,0.0
STU114,Aditi Saxena,Female,21,Computer Science Engineering,8.51,86.1,4,2,2,3,54.7,37.9,Not Placed,Not Applicable,0.0
STU115,Aadhya Saxena,Female,21,Electronics & Communication,7.77,68.8,4,3,2,1,68.6,51.7,Placed,TCS,11.19
STU116,Ananya Singh,Female,22,Mechanical Engineering,7.87,82.5,7,1,2,5,63.0,54.8,Not Placed,Not Applicable,0.0
STU117,Aditi Tripathi,Female,20,Information Technology,6.04,93.4,7,1,4,0,49.6,76.5,Not Placed,Not Applicable,0.0
STU118,Siddharth Gupta,Male,24,Computer Science Engineering,7.08,72.0,7,0,5,3,39.5,79.1,Placed,IBM,11.5
STU119,Kritika Iyer,Female,23,Computer Science Engineering,9.13,100.0,6,1,3,0,46.4,36.9,Placed,Cognizant,14.0
STU120,Nikhil Chauhan,Male,21,Computer Science Engineering,7.5,68.1,5,2,3,5,45.7,74.6,Placed,Wipro,8.96
STU121,Sneha Verma,Female,20,Information Technology,9.3,91.9,5,2,2,1,91.2,72.6,Placed,TCS,10.01
STU122,Kavya Verma,Female,22,Mechanical Engineering,6.68,85.1,8,2,5,1,48.1,73.7,Placed,TCS,12.1
STU123,Rohan Reddy,Male,25,Computer Science Engineering,7.63,94.3,2,2,2,3,63.1,67.3,Not Placed,Not Applicable,0.0
STU124,Ishaan Bansal,Male,21,Electronics & Communication,7.02,66.6,4,1,3,2,79.4,79.3,Not Placed,Not Applicable,0.0
STU125,Aarav Bhatt,Male,22,Mechanical Engineering,7.99,100.0,4,0,3,1,65.5,82.6,Not Placed,Not Applicable,0.0
STU126,Aryan Joshi,Male,23,Information Technology,8.3,77.9,8,3,2,2,42.5,40.5,Not Placed,Not Applicable,0.0
STU127,Priya Bhatt,Female,24,Mechanical Engineering,8.0,88.1,5,0,1,2,79.7,64.3,Not Placed,Not Applicable,0.0
STU128,Anika Gupta,Female,21,Information Technology,8.44,97.3,2,1,1,1,68.4,61.2,Placed,TCS,8.3
STU129,Aditya Chatterjee,Male,21,Electronics & Communication,7.39,72.7,6,2,4,3,22.7,56.4,Placed,Accenture,9.59
STU130,Arjun Yadav,Male,23,Information Technology,7.21,89.9,5,1,1,4,84.4,58.2,Placed,Tech Mahindra,8.4
STU131,Dhruv Mishra,Male,25,Information Technology,5.64,70.7,4,0,3,1,77.7,67.8,Not Placed,Not Applicable,0.0
STU132,Reyansh Verma,Male,20,Artificial Intelligence & Machine Learning,8.04,96.8,4,0,2,1,68.1,45.6,Placed,Tech Mahindra,7.83
STU133,Dhruv Mishra,Male,24,Artificial Intelligence & Machine Learning,7.57,70.9,4,2,1,0,91.4,75.1,Placed,Deloitte,12.29
STU134,Arjun Yadav,Male,21,Artificial Intelligence & Machine Learning,7.33,80.5,7,2,6,3,77.3,59.5,Placed,Infosys,10.31
STU135,Shreya Bansal,Female,24,Information Technology,7.21,83.7,6,0,2,2,82.3,78.1,Placed,TCS,8.39
STU136,Kabir Bhatt,Male,21,Computer Science Engineering,7.36,89.4,5,1,4,3,80.7,55.7,Not Placed,Not Applicable,0.0
STU137,Nikhil Kapoor,Male,24,Civil Engineering,7.16,100.0,3,2,4,0,75.6,54.9,Not Placed,Not Applicable,0.0
STU138,Pooja Agarwal,Female,22,Electronics & Communication,6.87,74.6,5,2,7,0,29.8,50.8,Placed,TCS,4.81
STU139,Siddharth Joshi,Male,21,Information Technology,7.64,93.7,6,1,2,4,31.9,55.8,Not Placed,Not Applicable,0.0
STU140,Shreya Pandey,Female,24,Computer Science Engineering,7.88,100.0,6,0,8,1,77.3,53.0,Not Placed,Not Applicable,0.0
STU141,Aadhya Rao,Female,20,Civil Engineering,6.63,82.0,6,1,3,4,84.2,71.5,Placed,Cognizant,8.39
STU142,Rahul Patel,Male,22,Mechanical Engineering,7.0,73.4,4,0,4,6,49.3,80.7,Not Placed,Not Applicable,0.0
STU143,Ishaan Bhatt,Male,22,Electronics & Communication,7.2,59.2,1,2,4,1,42.0,70.8,Not Placed,Not Applicable,0.0
STU144,Manav Bhatt,Male,20,Artificial Intelligence & Machine Learning,7.4,100.0,9,1,5,2,66.7,63.8,Placed,Tech Mahindra,10.76
STU145,Dhruv Kapoor,Male,24,Information Technology,7.27,77.1,3,1,1,2,35.9,72.3,Not Placed,Not Applicable,0.0
STU146,Rohan Chauhan,Male,23,Computer Science Engineering,8.06,68.0,2,2,3,5,59.0,64.5,Placed,Wipro,9.09
STU147,Aditi Nair,Female,20,Computer Science Engineering,5.75,63.7,6,1,2,1,55.6,65.4,Not Placed,Not Applicable,0.0
STU148,Rahul Mehta,Male,24,Mechanical Engineering,5.92,68.0,2,1,1,1,58.0,60.4,Not Placed,Not Applicable,0.0
STU149,Nikhil Pandey,Male,20,Electronics & Communication,7.59,91.0,4,1,2,7,95.9,77.5,Not Placed,Not Applicable,0.0
STU150,Krishna Malhotra,Male,20,Electronics & Communication,6.8,92.7,7,0,3,3,50.6,26.5,Not Placed,Not Applicable,0.0
STU151,Aditi Dwivedi,Female,21,Civil Engineering,8.28,87.8,9,2,7,0,63.0,33.0,Placed,Wipro,13.47
STU152,Krishna Reddy,Male,24,Electronics & Communication,8.57,81.6,6,1,4,2,38.4,80.4,Placed,Wipro,9.86
STU153,Siddharth Agarwal,Male,23,Information Technology,7.63,65.1,5,1,1,1,78.9,62.1,Not Placed,Not Applicable,0.0
STU154,Ishaan Chatterjee,Male,21,Artificial Intelligence & Machine Learning,6.33,71.2,5,0,1,1,58.8,78.8,Not Placed,Not Applicable,0.0
STU155,Rey Pandey,Other,20,Civil Engineering,8.45,66.7,2,2,1,3,83.2,55.9,Not Placed,Not Applicable,0.0
STU156,Manav Tripathi,Male,25,Computer Science Engineering,7.6,86.9,5,0,4,3,17.8,90.1,Placed,Deloitte,7.14
STU157,Anika Gupta,Female,20,Civil Engineering,5.91,67.2,5,2,6,5,61.0,63.0,Placed,Tech Mahindra,9.26
STU158,Simran Nair,Female,20,Mechanical Engineering,6.0,71.4,6,2,6,1,64.4,71.7,Not Placed,Not Applicable,0.0
STU159,Krishna Bansal,Male,24,Computer Science Engineering,8.92,77.8,9,2,0,4,78.4,58.3,Placed,TCS,11.17
STU160,Tanvi Saxena,Female,24,Information Technology,8.75,60.0,2,0,8,4,50.4,51.5,Placed,HCLTech,11.43
STU161,Aditya Yadav,Male,21,Mechanical Engineering,5.0,80.6,5,2,3,5,76.2,38.9,Placed,HCLTech,8.18
STU162,Neha Verma,Female,23,Information Technology,6.04,78.7,2,1,4,3,52.5,76.8,Not Placed,Not Applicable,0.0
STU163,Ishita Kumar,Female,21,Civil Engineering,8.54,94.2,4,1,2,2,63.7,70.9,Placed,Tech Mahindra,9.48
STU164,Aryan Joshi,Male,22,Civil Engineering,7.38,70.2,4,1,2,3,78.6,66.4,Placed,Accenture,9.31
STU165,Dhruv Mehta,Male,20,Information Technology,8.1,64.4,3,2,2,2,45.3,47.9,Placed,Deloitte,12.41
STU166,Aditi Saxena,Female,25,Artificial Intelligence & Machine Learning,7.34,75.5,7,0,0,2,75.3,86.2,Not Placed,Not Applicable,0.0
STU167,Nikhil Singh,Male,20,Civil Engineering,8.05,66.8,6,0,6,8,68.0,66.6,Placed,TCS,13.66
STU168,Karan Chatterjee,Male,20,Electronics & Communication,7.41,80.5,7,2,4,1,56.0,75.5,Placed,Cognizant,11.66
STU169,Aarav Agarwal,Male,21,Computer Science Engineering,6.96,57.7,4,1,3,3,50.0,65.0,Not Placed,Not Applicable,0.0
STU170,Neha Nair,Female,25,Computer Science Engineering,8.46,72.7,5,0,3,1,24.2,48.7,Placed,Cognizant,10.45
STU171,Pooja Verma,Female,25,Information Technology,7.6,68.9,9,0,1,8,60.6,79.9,Placed,Infosys,11.49
STU172,Aditya Nair,Male,25,Civil Engineering,8.05,86.8,5,0,5,3,56.0,71.8,Not Placed,Not Applicable,0.0
STU173,Vivaan Pandey,Male,21,Mechanical Engineering,7.56,70.3,7,0,3,6,73.5,62.3,Not Placed,Not Applicable,0.0
STU174,Karan Chauhan,Male,20,Electronics & Communication,6.91,59.2,4,2,4,4,71.7,71.5,Placed,HCLTech,9.82
STU175,Simran Gupta,Female,21,Computer Science Engineering,9.01,77.6,7,0,2,1,81.3,77.3,Placed,Wipro,11.55
STU176,Krishna Malhotra,Male,24,Artificial Intelligence & Machine Learning,7.75,83.8,4,0,0,1,81.9,74.9,Not Placed,Not Applicable,0.0
STU177,Kritika Bansal,Female,24,Mechanical Engineering,7.04,76.7,2,0,1,2,100.0,39.3,Not Placed,Not Applicable,0.0
STU178,Dhruv Bhatt,Male,21,Computer Science Engineering,8.68,72.7,5,1,1,2,71.2,42.6,Not Placed,Not Applicable,0.0
STU179,Meera Saxena,Female,25,Artificial Intelligence & Machine Learning,6.08,71.9,5,1,4,1,46.5,76.0,Not Placed,Not Applicable,0.0
STU180,Dhruv Kapoor,Male,20,Computer Science Engineering,9.64,81.4,2,0,0,6,76.9,54.6,Not Placed,Not Applicable,0.0
STU181,Kabir Bhatt,Male,21,Electronics & Communication,7.22,69.3,6,0,2,1,90.9,49.3,Not Placed,Not Applicable,0.0
STU182,Krishna Tripathi,Male,21,Civil Engineering,6.13,76.1,4,0,3,3,70.5,70.6,Not Placed,Not Applicable,0.0
STU183,Aadhya Sharma,Female,21,Artificial Intelligence & Machine Learning,9.31,89.0,10,1,3,5,23.8,48.8,Placed,Tech Mahindra,11.55
STU184,Shreya Gupta,Female,22,Information Technology,6.94,64.4,3,1,3,4,72.0,57.8,Not Placed,Not Applicable,0.0
STU185,Karan Malhotra,Male,24,Electronics & Communication,7.64,79.5,3,3,1,1,50.7,77.8,Placed,IBM,10.95
STU186,Simran Singh,Female,25,Civil Engineering,8.12,58.5,7,2,2,4,38.2,42.3,Placed,Deloitte,10.68
STU187,Simran Kumar,Female,23,Computer Science Engineering,8.58,82.7,5,2,3,1,65.4,44.5,Placed,HCLTech,12.4
STU188,Rahul Sharma,Male,25,Information Technology,7.7,68.3,7,0,4,3,34.5,40.8,Placed,Wipro,8.57
STU189,Sameer Kapoor,Male,23,Artificial Intelligence & Machine Learning,6.75,92.2,6,0,4,1,80.4,52.1,Placed,TCS,9.19
STU190,Rohan Kapoor,Male,22,Mechanical Engineering,7.62,62.3,4,1,1,1,75.2,66.2,Not Placed,Not Applicable,0.0
STU191,Nikhil Bhatt,Male,21,Information Technology,6.98,85.3,3,2,0,3,60.4,55.7,Not Placed,Not Applicable,0.0
STU192,Saanvi Yadav,Female,22,Computer Science Engineering,7.65,94.7,8,2,3,5,52.1,87.6,Placed,Deloitte,13.05
STU193,Aadhya Kumar,Female,22,Electronics & Communication,9.03,67.6,3,3,4,5,58.7,71.8,Placed,Capgemini,12.44
STU194,Sneha Patel,Female,20,Mechanical Engineering,8.16,69.7,7,2,0,1,43.8,64.7,Placed,Tech Mahindra,7.66
STU195,Krishna Saxena,Male,24,Computer Science Engineering,7.61,68.7,7,3,1,2,60.6,84.0,Placed,Wipro,11.09
STU196,Sameer Saxena,Male,23,Mechanical Engineering,8.14,74.2,5,1,4,1,10.8,45.0,Not Placed,Not Applicable,0.0
STU197,Sneha Chauhan,Female,21,Computer Science Engineering,8.21,86.2,5,0,2,1,63.6,78.0,Placed,IBM,10.02
STU198,Diya Bhatt,Female,23,Information Technology,6.32,73.2,4,1,5,1,64.1,61.5,Not Placed,Not Applicable,0.0
STU199,Anika Tripathi,Female,25,Information Technology,7.44,66.5,6,0,5,3,77.2,58.2,Placed,Wipro,10.39
STU200,Saanvi Joshi,Female,23,Electronics & Communication,9.96,55.8,1,2,4,1,67.4,74.2,Not Placed,Not Applicable,0.0
STU201,Kritika Rao,Female,25,Artificial Intelligence & Machine Learning,8.61,99.2,7,2,2,1,79.6,58.8,Placed,Cognizant,12.48
STU202,Siddharth Chauhan,Male,24,Mechanical Engineering,6.9,100.0,6,2,5,1,71.8,67.7,Not Placed,Not Applicable,0.0
STU203,Sameer Nair,Male,25,Electronics & Communication,6.8,86.7,5,1,6,5,80.7,63.5,Not Placed,Not Applicable,0.0
STU204,Sneha Verma,Female,23,Electronics & Communication,6.76,70.3,6,0,1,2,100.0,69.6,Not Placed,Not Applicable,0.0
